Coder_1,Coder_2,Coder_3,Coder_4,Coder_5
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,1,1,1,0
0,0,0,0,0
1,1,1,1,0
0,0,0,0,0
0,0,0,0,1
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,0
0,0,0,0,1
1,1,1,1,0
1,1,1,1,0
0,0,0,0,0
0,0,0,0,1
1,1,1,1,1
1,1,1,1,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,0
1,1,1,1,1
1,1,1,1,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
1,1,1,1,0
1,1,1,1,1
0,0,0,0,1
1,1,1,1,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,0
1,1,0,1,1
1,1,1,1,1
1,1,1,1,0
1,0,0,1,1
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,1
1,1,1,1,1
1,1,0,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
1,1,1,1,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,0
1,0,0,1,1
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,0,0,0,0
1,0,0,1,0
1,1,1,1,1
0,0,0,0,1
1,1,1,1,1
0,0,0,0,1
0,0,0,0,0
1,1,1,1,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
1,1,1,1,0
0,0,0,0,0
0,0,0,0,0
1,0,0,1,0
1,1,1,1,0
1,1,1,1,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,0
0,0,0,0,0
0,0,0,0,0
1,1,0,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,0
1,1,1,1,1
1,1,1,1,1
